,group,account,names,profession,phase_1_dps,phase_2_dps,phase_3_dps
0,2,Lemos.8360,Paiani,Scourge,20839.87,13824.25,21871.59
1,2,Brando.1374,Xxkakarot,Specter,26297.25,23995.65,25639.74
2,2,lPRATESl.6931,Headshot Free,Firebrand,2650.21,3609.08,2906.5
3,2,Andarck.5610,Saiku Goldmane,Renegade,17522.65,14295.04,11729.82
4,2,The Optional.1538,Deutschlad,Scourge,22235.98,22041.74,25958.95
5,3,Saiki.5147,Isadora Sunspear,Druid,4086.43,3632.51,4939.54
6,3,Yum.8039,F L O R I Ã„ N,Mechanist,36023.57,35294.09,41721.66
7,3,skyrim.9602,Exxcelsiorr,Mechanist,29339.29,30220.51,37518.59
8,3,Nanacio.1602,Nanacia,Firebrand,20514.68,20125.91,21492.74
9,3,Carvalho.6382,Carvalhoooo,Firebrand,18611.69,17686.14,18464.22
